name,gender,country,province,city,location,category,fans,videos,likes,comments,shares,following,school,custom_verify,enterprise_verify,signature
人民日报,0,中国,北京,北京,北京,政企,117259000,2427,1165446000,11906782048,9089061412,18,,,人民日报官方账号,参与、沟通、记录时代。
央视新闻,0,中国,北京,北京,北京,政企,105648000,3681,3814571666,2603872833,1989050522,27,,央视新闻官方账号,央视新闻官方抖音号,本宝宝暂时还没想到个性签名
陈赫,1,中国,,上海,上海,明星,68374000,422,570096000,430908721,117639297,131,上海戏剧学院,演员陈赫,,😎帅到没朋友 💁🏻‍♂️有东西直播间 🔜1⃣️1⃣️1⃣️8⃣️🕔 ☑️公众号➰[陈赫]
Dear-迪丽热巴,0,,,,,明星,49790000,29,181167000,202448645,151645265,0,,演员,,
毒舌电影,1,中国,广东,广州,广州,剧情,46355000,616,820393000,28026109,13005392,24,,优质影视自媒体、抖音影评团成员,,看电影， 可以改变人生。  商务邮：dsmovie@youhaoxi.cn ❤️  日历预售已在商品橱窗上架，12月中旬发货哦
陈翔六点半,1,中国,云南,昆明,,剧情,45276000,1258,512776000,150357534,163131307,34,,抖音音乐人,陈翔六点半栏目官方账号,陈翔导演作品！ 商务合作邮箱：sw@cxldb.com
李佳琦Austin,1,中国,上海,上海,上海,好物推荐,44752000,520,300842000,348707291,446589654,2,,,,涂口红世界纪录保持者 战胜马云的口红一哥 关注vx：李佳琦Austin
一禅小和尚,1,中国,江苏,苏州,苏州,二次元,43660000,486,248594000,159504365,1088909266,5,,动漫自媒体,,可能是世界上最萌的小和尚 商务.星图合作联系v❤️：emilionnn
高火火❤️,1,中国,吉林,延边,延边,音乐,43626000,249,389345000,219526349,108770637,483,,抖音音乐人,,只要你开心，要我干嘛都好～
人民网,1,,,,,政企,43422000,3280,1805419000,1004279775,751797832,4,,,人民网官方账号,权威实力 源自人民
一条小团团OvO,2,中国,湖南省,岳阳市,岳阳市,游戏,43221000,1211,921752000,650605434,257125751,288,,游戏主播,,尽我所能带给大家快乐☀️
抖音小助手,1,中国,北京,北京,北京,娱乐资讯,42878000,248,146292000,107729819,144621573,6,,,抖音短视频官方账号,本宝宝暂时还没想到个性签名
大狼狗郑建鹏&言真夫妇,1,中国,广东,广州,广州,帅哥,42702000,624,680792000,433138178,313309559,248,,抖音直播十佳好物推荐官,,直播间客服抖音号：gdffkefu，gdffkefu2 其他均为骗子，宝宝们谨防上当！ - 我们只是一对平凡的广东夫妇，感谢大家厚爱🙏 出镜的是大女儿灵灵，小女儿太小暂时不出镜哦🐷 宠粉，是因为真心感恩❤
郭 聪 明🔥,1,,,,,才艺技能,42276000,226,500901000,379749056,241270718,343,,歌手,,如果我是魔鬼，你愿不愿意做我的杰瑞❤️ 围脖 郭聪明Dg qq音乐：郭聪明
Angelababy,2,中国,,上海,上海,明星,41184000,67,149973000,57950405,27885036,145,,演员,,天道酬勤
祝晓晗,2,中国,,北京,,剧情,41127000,390,714472000,227267559,160147423,37,,,,一个女演员的生活日常 ⚠️近期出现大量冒充祝晓晗本人以及小助理的账号 ❌我们不会私信让您退kuan，再私下交yi，谨防被骗 ✅晓晗直播间售后方式，私信我关注的：胖晗的小助理1号
李子柒,2,中国,四川,绵阳,绵阳,美女,40614000,669,167202000,5876322,2853280,1,,美食自媒体,,李家有女，人称子柒
GEM鄧紫棋,2,Hong Kong,New Territories,Tsuen Wan,九龙,明星,40472000,191,345456000,381244192,115830183,8,,歌手、作词家、作曲家,,歌手
❤️会说话的刘二豆❤️,1,中国,黑龙江,哈尔滨,,宠物,40425000,89,439274000,113505673,257484265,133,,萌宠视频达人,,把日子过成童话❤️              ·           👩‍👧‍👦           🧥           🍚           🏠           🚗             · 微博：会说话的刘二豆  邮箱：3489387395@qq.com （无小号、无公众号）
疯狂小杨哥,1,中国,安徽,六安,六安,搞笑,38884000,124,388380000,163883743,181993639,169,合肥工业大学,,,一对全能沙雕双胞胎兄弟👬  点个关注  便可解🔒宝藏兄弟的沙雕日常 每周六11点更新  围脖：疯狂小杨哥 小杨V：z392406019（仅限🌟图） 小杨V：xyg0564（备注来意） 没有任何小号或生活号，更没有任何公司
罗志祥,1,,,,,明星,36999000,343,443484000,399730810,134060577,1,,全能艺人,,抖音沙雕谁最强 就是本人罗志祥
浪胃仙,2,中国,,重庆市,重庆市,美食,36679000,42,485613000,1191641777,421617776,107,,优质美食自媒体,,厉行勤俭节约，反对铺张浪费。 自觉爱惜粮食，保证餐餐光盘。 拒绝浪费，从每个人做起。 保证光盘，从每一餐做起。
麻辣德子,1,中国,山东,威海,威海,美食,34369000,383,308749000,126929496,269544235,48,,优质美食自媒体,,支持正能量，从我做起 商务合作：13561832135(注明来意)
彭十六elf,2,中国,,北京,北京,美女,34202000,275,659346000,839365070,428163689,163,,抖音音乐人,,何其荣幸，何德何能🙏 工作联系v：elfin828 微博：彭十六elf
四川观察,0,中国,浙江,杭州,杭州,政企,33391000,7285,1474252000,435859142,308755913,66,,,四川广播电视台新媒体,Gz号：四川观天下【正在送福利】 【官方合作投稿联系方式】 抖音搜索：观观爆料箱 V信：sctvgcgzs 邮箱：scgcnews@163.com 欢迎合作，向观观投稿
多余和毛毛姐,1,中国,贵州,贵阳,贵阳,搞笑,33166000,292,446300000,300403311,313758967,199,,最佳人气主播,,谢谢喜欢❤️围脖（同名） 个人📧：yuzhaohe@sina.cn
叶公子,2,中国,江苏,南京,南京,剧情,31395000,255,404156000,277329067,142957303,5,,,,一个霸气！帅气！时而孩子气的美妆总裁博主。 关注我 文能怒宠闺蜜！随机撒🍭！ 武可👊锤阿豪！手撕🍵！ 唯一小号在关注列表里哦！✌️ 工作：zhengzhanzz （注明来意） 粉丝➕v：yezi19970603
薛之谦,1,,,,,明星,31061000,111,314424000,255373144,76980052,186,,原创歌手,,我就问你有没有发挥！
涂磊,1,中国,北京,北京,天津,明星,30571000,348,244665000,634861811,746350827,5,,中国首席情感导师、著名主持人,,商务合作👉wx:BY_coming
何炅,1,暂不设置,,,,明星,30385000,15,75687000,163411084,537625268,41,已毕业,主持人,,新人请多多关照
黑脸V,1,中国,湖南,邵阳,邵阳,帅哥,29766000,159,256641000,77368666,46034363,1,,人气视频创作者,,一个创意，一种态度  🖤: xee114
关晓彤,2,中国,浙江,杭州,杭州,明星,29475000,137,147324000,346860733,167315870,22,,演员,,哈哈哈哈哈哈哈哈
唐唐,1,中国,浙江省,杭州市,杭州市,二次元,29132000,399,452051000,462783265,656469417,10,,,,如果想要开心，你就关注唐唐吧！ 每天和你不见不散哟！
papi酱,2,中国,北京,北京,,搞笑,29063000,287,202199000,271031749,364287122,48,,演员，原创搞笑视频自媒体,,一个集美貌与才华于一身的女子。工作联系v x：13031188214。注明【papi合作】
猴哥说车,1,,江苏省,南京市,南京市,交通汽车,29032000,158,191180000,990089133,494780653,116,,资深车评人,,猴哥，做你身边的车痴好友。 每晚10点直播聊车。 商务合作： 小童VX：17714331375         QQ：490312832 北斗VX：17749558361         QQ：515842600
莫邪,2,中国,广东,广州,广州,剧情,28786000,189,276632000,116132740,49285570,156,,,,一个制仗少女的高仪式感日常 围脖🧣：莫邪MM 商务合作：yj441911 （注明合作品牌） 粉丝群：moxiemm01                 moxiemm02                moxiemm03
新闻联播,1,中国,北京,北京,北京,政企,28728000,313,191387000,369896741,702337301,5,,, 央视《新闻联播》节目官方抖音号,
杨紫,2,中国,北京,北京,北京,明星,28368000,63,115856000,110164667,27054504,4,北京电影学院,演员,,我是小猴紫呀，嘻嘻嘻
懂车侦探,1,暂不设置,,,,交通汽车,28035000,367,254547000,319893855,668042123,76,,人气视频创作者,,记住我，帮你躲避危险！ 合作vx：451269214 粉丝💌：1140025680
中国日报,1,中国,北京,北京,,政企,27927000,4167,1076618000,391944538,154208905,5,,,中国日报社官方账号,全球精彩短视频，就看中国日报！
🚥惠子ssica🚥,2,阿尔及利亚,,西安,,才艺技能,28035917,531,379056000,512656669,197364159,1383,陕西省西安中学,人气视频创作者,,承蒙厚爱 感激不尽
我是田姥姥,2,中国,辽宁,鞍山,鞍山,搞笑,27844000,168,360737000,272026091,209700297,96,,,,调皮外孙和碎嘴姥姥🏠 每周二 周四 周六 中午11点更新⏰ . 外孙 ❤️: tianlaolao222（售后+聊天） 商务 💚: stw13358632277(直播招商+星图） . (任何私信不要信！个人号 不属于任何机构)
虎哥说车,1,中国,浙江,杭州,杭州,交通汽车,27807000,445,242566000,134086440,74992400,64,浙江传媒学院,主持人,,于虎  主持人 演员 私信太多，回复不过来，见谅
张大仙,1,中国,北京,北京,,游戏,27706000,390,423220000,217169141,96906569,6,,游戏博主 游戏视频自媒体,,啊？这个人，居然也玩王者啊……
摩登兄弟,1,奥地利,,克恩顿,,明星,27692000,233,258912000,660126619,424398975,27,,歌手 演员,,用心认真唱歌.承蒙各位厚爱。围脖‘’摩登兄弟。一块玩哦
西木西木,1,中国,新疆,乌鲁木齐,乌鲁木齐,搞笑,27143000,247,226860000,112840971,195425382,35,,,,石榴熟了/ 演员  🧣：石榴西木西木  商务合作：gyjh66
M哥,2,百慕大,,,北京,音乐,26844000,174,233547000,384432921,129265152,167,,抖音音乐人,,☀️☀️☀️☀️☀️
天津一家人11月18号刚爸生日🎂,1,中国,,天津,天津,搞笑,26719000,493,365825000,90612145,80871464,1867,,,,11月18日中午12点直播间给刚爸准备一个生日惊喜 并且当天送出3台🚗感恩回馈粉丝 11月18日直播黄金珠宝美妆个护生活用品 ⚠️以各种理由私信退款的都是pian子 ❤️：nxa188
代古拉k,2,中国,四川省,成都市,,美女,26267000,302,316313000,100383882,101698023,325,,,,vb代古拉k😂专业毁舞一百年的157cm82斤黑🐒工作😊❤ z111t333
七舅脑爷,1,中国,四川省,成都市,成都市,帅哥,26129000,187,354633000,68170874,63639657,63,,,,看到GTR记得@我 已加入抖音原创者联盟 围脖：@七舅脑爷 商务合作请加V：g222g000 请说明身份
疯产姐妹,2,中国,北京,北京,,美女,26066000,82,277627000,465173764,128857359,79,,,,闺蜜变胖 我的愿望👆👆👆 （没有团队，没有公会，从零到现在，离不开每一个粉丝的支持。和贝勒爷会继续努力把快乐带给你们，感恩旧岁，未来可期。） 感谢官方，感谢关注，感谢可爱的你们。 没有小号
爱与二歪,1,中国,江苏,南京,南京,宠物,26023000,293,276467000,23345658,31730650,5,,优质视频创作者,,这里是歪爸与三只猫有爱搞笑的逗趣日常 为了防止被老爹揍， 为了贯彻爱与真实可爱又迷人的小歪、豹豹、甜甜， 立志做最坑爹的猫！ 喜欢就关注我们吧，就是这样，喵～ 工作联系🗣：kaiguademao（注明来意） 粉丝➕：nidexiaoyu12345
郭冬临·暖男先生,1,中国,辽宁,沈阳,,明星,25612000,501,361515000,381965662,422468668,2,,人气视频创作者,,冷吗？暖你！ 合作：NN666XS666（v💕）
冯提莫,2,中国,,北京,,明星,25322000,217,151556000,74407668,56823135,25,,歌手  主播,,谢谢大家关注，记得给我小心心哟
田小野,2,暂不设置,,,,剧情,25321000,175,239698000,162730375,86309455,18,,,,干啥啥不行 吃饭第一名( ´◔ ‸◔`) 唯一小号在关注列表里哦~快来捞我😉 围脖🧣:田小野是餅 加粉丝群：hatsuyi                     xiaoyemm02                     xiaoyemm03 商务合作：pow1788（注明来意）
AG超玩会梦泪,1,中国,,上海,苏州,才艺技能,25244000,283,281015000,148214663,32124403,32,,电竞职业选手,,AG超玩会王者荣耀项目选手梦泪
赵露思,2,中国,浙江,金华,成都,明星,24823000,165,236357000,115758492,36911799,64,,演员,,微博：赵露思的微博
七阿姨柒号路人,2,中国,北京,北京,北京,娱乐资讯,24361746,219,401799840,10836605,5985050,176,,,,期待下次直播～ 售后请联系抖音号：51783088 商务请联系抖音号：2119650488 柒阿姨测评号在关注第一个❤️
皮皮（教做菜）,0,中国,江西,萍乡,萍乡,美食,23978000,435,167268000,34754076,181248104,118,,优质美食自媒体,,如何查询订单物流呢：方法是，打开抖音，点击我，点击右上角三杠，点我的订单，查找物流即可[微笑] 有任何售后问题请联系对应的客服💁💁‍♂️ 宝妈自用厨具和食材在橱窗👆👆👆 直播时间： 晚8点⏰ 每天分享一道家常菜，总有一道适合您
你的子笺子凛,1,中国,四川,成都,成都,帅哥,23615000,228,322905000,144871656,79247367,264,四川农业大学,人气视频创作者,,小号在关注第一个 双胞胎子笺（jian）子凛（lin） 合作🙂❤：zijianzilin3
潘长江,1,中国,,北京,北京,明星,23613000,192,189024000,345658021,84304672,60,,演员 导演,,将喜剧进行到底……爱咋咋地！
王祖蓝【今晚7点开播】,1,中国,浙江,杭州,杭州,明星,23485000,169,211280000,55757233,47533263,61,,演员、歌手、主持人,,✨无可祖蓝直播间🎬   🥳“蓝”不住好货🎁    💥福利大暴击🎉 🔒11🈷️13日19:00🔒
原来是舅先生,0,中国,,北京,,帅哥,23461000,240,277006000,103183363,82369909,4,,,,愿你三冬暖，春不寒，天黑有灯，下雨有伞 vb 原来是舅先生  （粉丝群已建～宝宝们看过来） 合作的大大+v：youlaiwanqu
陈三废gg 今晚8点直播,1,暂不设置,,,,搞笑,23373000,1037,389086000,134279568,87299698,955,,,,没有助理 私信你的都是骗子 支持7天无理由退款！ 售后☎：15017514546 售后抖音号：csfct321 品牌方❤️：932969181
央视网,0,中国,北京,北京,北京,政企,23284000,2916,682588000,568921328,744445122,4,,,央视网官方账号,有故事，有温度，有梦想。
光明日报,1,中国,北京,北京,北京,政企,23080000,2288,813053000,348082282,186204078,5,,,光明日报社官方账号,与时代同步
中国长安网,1,中国,北京,北京,北京,政企,22621000,3711,632996000,113596966,77519099,88,,中央政法委官方新闻网站,中央政法委官方新闻网站,安哥是正能量！
鬼哥,1,中国,广东,韶关,韶关,剧情,22521000,227,263956000,38787946,46540103,368,北京电影学院,知名视频创作者,,👤TA在关注你哦 🎬鬼哥与容妈妈斗智斗勇的日常生活 ⏰更新时间：11月20号晚上11点 ✉️个人V：JFU44467  （注明来意） 📮商务V：GGSW2020（星图合作）
新华社,1,中国,,北京市,北京,政企,22443000,2133,647891000,4541685407,2997346720,42,,,新华社官方抖音号,关注我，温暖你
朱容君-兔子牙,2,中国,浙江,杭州,杭州,明星,22397000,319,196040000,155811824,107262333,391,,歌手,,围脖：朱容君-兔子牙 工作联系邮箱：tzy_zrj@sina.com
wuli哥哥,1,中国,,北京,北京,剧情,22328000,292,251380000,30206519,22112841,10,,抖音创作者学院合作讲师,,家有哥哥们，甜蜜又烦恼 暖心东池，傲娇米言，元气小辉 哥哥个号在关注里 商V合作：ekswhz021 备注品牌达人 vb：wuli哥哥们
歐陽娜娜Nana,2,中国,四川,成都,,明星,21977000,121,107402000,66017451,33463859,17,,女艺人、大提琴演奏家,,
岳老板,1,中国,江苏,徐州,徐州,剧情,21875000,393,184605000,86736680,48848568,101,,,,一个90后大叔 合作:yuelaoban16 铁粉大家庭:Lzc19951224
仙鹤大叔张文鹤,1,中国,,北京,北京,搞笑,21703000,650,96228000,812310576,1342662798,1,北京大学,小儿皮科副主任医师,,北京著名医院小儿皮科专家，副主任医师。 中国红十字总会08年四川医疗救援队长。 知名医院管理专家。 天津医大临床医学本科；北京大学硕士研究生。 《“护粉”声明》 鹤叔尚未发布任何祛斑、祛痕知识。评论区内大量钓鱼营销信息，请及时揭发、举报。 《鹤叔午间道》直播暂停一周
毒角SHOW,1,美国,加利福尼亚州,洛杉矶市,洛杉矶市,搞笑,21591000,493,249407000,107324972,37986155,98,,人气视频创作者、抖音创作者学院合作讲师,,商务合作＋v：ekswhz021 中国的人儿，世界的事儿，这个节目有种混合的味儿
快乐大本营,1,中国,湖南,长沙,长沙,娱乐资讯,21350000,943,189132000,2640629823,1783424573,8,,,综艺《快乐大本营》官方抖音账号,湖南卫视《快乐大本营》官方账号，每周六晚20:20与你相约快乐周末！
家常美食-白糖,2,中国,广东,广州,广州,生活技巧,21335000,292,122325000,24735180,242090703,3,,,,家常美食，每天分享！ 感谢关注我的每一位朋友🙏🙏
破产姐弟,0,中国,山东,青岛,青岛,情感,21263000,213,282669000,43408948,19642638,35,,,,今天发财了吗？记得常来店里光顾！ 合作vx:jiahe231（注明来意) 粉丝群加V:pcjd6666
林颜,1,中国,,上海市,上海市,游戏,21002000,348,577174000,3567986581,1246322852,15,,,,比心：73603242、73600765 比心送本人亲笔签名明信片，速来比心！ 粉丝裙：1124533455 商务/红人招募📮504297582@qq.com 无小号，只玩比心，切勿上当
李现ing,1,暂不设置,,,,明星,20796000,3,47861000,379769000,102190000,1,,演员,,演员李现
贤于葛格,1,中国,广东,深圳,深圳,娱乐资讯,20698000,779,181108000,330777098,157551024,413,北京电影学院现代创意媒体学院,优质影视自媒体、抖音影评团成员,,🍿享受电影，体味人生      从电影的角度看现实。 💌商务合作请从星图联系
黄晓明,0,,,,,明星,20617000,89,58726000,70739053,73230963,22,,演员,,
娄艺潇,2,中国,广东,广州,阳泉,明星,20395000,209,110767000,31357528,7161868,51,,抖音音乐人,,会跳舞的歌手里体育最好的演员。
姜十七,2,中国,,北京,北京,剧情,20336000,175,177412000,66608327,24191132,31,,,,不惹事不怕事 合作vx: ysdd_001（备注来意） 🧣围脖：-姜十七- 小红📕：姜十七
布衣探案,1,中国,北京,北京,北京,剧情,20336000,243,152034000,139976657,61403904,106,,优质影视自媒体、抖音影评团成员,,11月14日｜周五晚6:00更新 这几天有点事儿耽误更新了 马上搞定😄 ————————————— 只看高质量电影。 一起推理，一起探案。 商务v：18910870201
邓伦,1,中国,山东,青岛,,明星,20311000,35,62877000,100542788,87263416,4,,演员邓伦,,
青岛大姨张大霞,1,中国,山东省,青岛市,青岛市,搞笑,20156000,107,165744000,143837158,123693498,4,,,,唯一小号在关注  😝 商务V：GSKH007
钟婷xo,2,中国,重庆,重庆,深圳,美女,20155000,517,360746000,285527029,213918079,345,,,,人间一趟，积极向上 Hello铁子们～ 私信太多别着急，我会尽量回的哟 也可以➕我：zhongting8880  互看朋友圈😬不定期还有fuli送哦 商务合作➕hq958951
张庭,2,中国,,上海,上海,明星,20119000,402,227513000,118637446,26009369,12,,演员张庭,,📢11月21日直播  💁🏻‍♀️公众号【张庭】 欢迎加入  工作联系📡：1469651851  直播间唯一助理 昵称：庭直播小助理   抖音号：ztzhibo
湖北日报,2,中国,湖北,武汉,武汉,政企,20116000,5793,955613000,263569431,195580174,31,,,湖北日报官方账号,有角度，更有力度！ 投稿、合作、实习联系邮箱3026401447@qq.com，联系电话027-88569628
河南广播电视台民生频道,0,中国,河南,郑州,郑州,政企,20063000,2539,335676000,1053332435,594067567,23,,,河南广播电视台民生频道官方抖音号,求助帮忙请关注后私信（时间+地点+人物+事件+联系电话）
刀小刀sama,2,中国,安徽,六安,六安,美女,20013000,111,276571000,594075685,334629694,161,,,,❤承蒙大家厚爱 🧣刀小刀sama  ⚠️抖音号只有一个 其他均不是本人 🈴 xxccxcc112233（备注品牌）
刘铁雕Rose,1,中国,,天津市,,搞笑,19772000,248,286167000,326232248,188377986,67,,,,雕哥的快乐生活 嘿嘿嘿嘿 投稿👉VB:刘铁雕Rose 商务合作: Guangyjh
太阳妹妹（晨晨）,2,中国,江苏,南京,南京,搞笑,19699000,627,295997000,3158042,3221968,79,,嗨吃南京宣传大使,,商务合作➕VX：Guangyjh 开心快乐每一天😊加油 仅此一号，没有小号
恋与白侍从,1,中国,湖南,长沙,长沙,帅哥,19688000,266,342814000,208129181,76591245,20,,抖音音乐人,,你实在太可爱，要不要和我来？ 围脖：恋与白侍从 商务邮箱：666@menyashipin.com
狗子队长★,2,,,,,游戏,19640000,195,400994000,195797403,53755622,15,,,,尽我最大努力，给大家快乐~ 比❤️：73600765、73603242 更多日常花絮尽在比❤️哦～ 粉丝群：757387142 无小号，勿上当。 商务邮箱/红人招募：504297582@qq.com
环球网,2,中国,北京,北京,北京,政企,19459000,4914,980555000,224929273,140172203,48,,,环球网官方账号,世界那么大，环环带你看天下。 官方合作投稿联系方式   QQ: 2474039767
芋头快跑,2,中国,广东,深圳,,搞笑,19375000,117,157005000,88725800,49132371,13,,,,11月13号下午3点来我直播间一起熊猫吧🐼 11月14号中午12点准时更新，等你来哟 芋头和小兰是邻居，其他我不认识 记录与包租婆妈妈的日常 没更新就是被妈妈盯上了 合作➕sodatube666
王泡芙,2,中国,河南,郑州,郑州,宠物,19374000,294,203457000,45874326,34848792,138,,,,我妈姓王 我叫泡芙 我是美短加白 粉丝v💗：wangpaofu88 合作v💗：7772324 芙照片vb：我是王泡芙
金毛蛋黄,2,中国,山东,青岛,青岛,宠物,19317000,1056,267694000,214290844,360141635,488,,,,星图合作: jinmaodanhuang
贫穷料理,1,中国,福建,厦门,厦门,美食,19265000,579,127110000,48357452,143025919,61,,抖音扶贫达人,,酷爱人间烟火和美食的小安 围脖🧣：贫穷料理 来找我聊天 粉丝👗：WXL1141562522 🤝：gyjh6666666 贫穷只是暂时的，记得按时吃饭❤️
海扬,1,中国,河南,郑州,广州,才艺技能,19197000,230,218485000,42984458,18073375,1984,已毕业,,,全能小哥，坚持原创原创，加油！ 🔥🔥🔥 品牌商务😊❤️:haiyangshangwu
浙有正能量,1,中国,浙江,杭州,,政企,19124000,3439,1274714000,254942909,86378664,25,,,浙江经侦橙意平台官方抖音号,为中国🇨🇳正能量发声！  投稿邮箱：8771686@qq.com
杨幂,2,,,,,明星,19078000,21,61883000,91734615,25642651,37,,演员,,
柳岩,2,中国,四川,成都,成都,明星,18987000,266,79375000,127339083,29217708,129,,光线传媒当家女主播 歌手 演员,,做好自己人生故事的主角❤️
设计师阿爽,2,中国,广东,广州,,家居家装,18966000,685,94028000,111896230,464743791,13,,抖音知识分享官,,我是阿爽，爱设计超过爱男人 0元设计＋V:  sj33130 或  sj7804 私信扣“1”送100家户主装修案例攻略+500套美图 双12购爽家装团购节  12月11日19:30直播 商务v：mcn880
果然,1,中国,上海,上海,上海,剧情,18897000,480,336785000,425356959,172893997,4,,,,比心:87580765、99203303 生活日常照片同步更新比心 🐧群：723195821 果然是个好学长👻 学妹唯一号在关注里！ 商务合作、艺人招募📮：504297582@qq.com
小阿七,2,中国,广东,广州,广州,美女,18877000,404,136420000,50979725,50336513,27,,抖音音乐人,,本人仅此一个抖音号，近期有无良账号恶意冒充，小伙伴们不要上当哦！ 粉丝群：835235002（第一时间户外通知）  商务❤：hezuo_xiao7@qq.com
费启鸣,1,中国,,北京,北京,明星,18841000,107,136881000,52511700,72744729,73,,演员,,谢谢你的关注
东方卫视,2,中国,上海,上海,上海,政企,18781000,8262,588505000,107146241,107809085,80,,,东方卫视,每晚19:30《瞄准》 周六20:30《神奇公司在哪里》 周六22:00 《哈哈哈哈哈》 周日21:00《中国梦之声·我们的歌》
维维啊,1,中国,北京,北京,北京,搞笑,18727000,233,353797000,366292146,250882197,135,,,,都要努力开心鸭！ 闲下来会常看私信，尽量都回复哈 天冷了！都把秋裤穿上！照顾好自己！ 工作：TXYL0707（注明来意）
医路向前巍子,1,中国,,北京,北京,生活技巧,18664000,792,173661000,97617704,1541962951,175,,北京大学第一医院密云医院急诊外科医师,,📌 2019北京青年榜样-时代楷模 📌 科普急救疾病知识，呵护您的健康 📌 做有情怀的医生，写有温度的科普 📌 公号：医路向前巍子 📌 合作：chupincmmcn@163.com（注明来意）
许华升,1,中国,广西,贺州,贺州,剧情,18507000,196,187616000,93939770,81289996,79,,抖音音乐人,,本人没有小号！冒充的人太多了，希望大家不要相信！感谢大家的支持！
柚子cici酱,2,中国,四川,成都,成都,剧情,18465000,285,313212000,255338399,94024322,5,,,,cici女孩 绝不认输！ 工作V：cdmm8899
新闻快车,1,中国,福建,厦门,晋城市,政企,18416000,1638,754185000,965207475,712135064,230,,,太行日报官方账号,有品、有料，好听、好看。 投稿：thrbgfdyh@163.com vx：woxiaoniu7hao
刘思瑶nice,2,中国,山西,太原,太原,美女,18320000,164,205163000,104056130,42162588,294,,,,以梦为马 不负韶华🧡 合作：16601777194   美：jur720720 🧣：刘思瑶nice
